grade	courseName	topic	clusterKey	clusterLabel	primaryBenchmark	CCSS	MN07	MN22	TEKS	dokLevel	problemIndex	stem	answer	hint
K	Grade K	counting and cardinality	counting_K	Counting & Cardinality	K.1.1.1	K.CC.A.1; K.CC.A.2; K.CC.A.3; K.CC.B.4; K.CC.B.5	K.1.1.1; K.1.1.2; K.1.1.3	K.N.1.1; K.N.1.2; K.N.1.3	K.2A; K.2B; K.2C; K.2D; K.2F	DOK2	4	A bird saw 6 worms: 🪱 🪱 🪱 🪱 🪱 🪱 on the ground. Count and tell how many worms.	6	Touch each worm and count carefully: 1, 2, 3, 4, 5, 6.
K	Grade K	counting and cardinality	counting_K	Counting & Cardinality	K.1.1.1	K.CC.A.1; K.CC.A.2; K.CC.A.3; K.CC.B.4; K.CC.B.5	K.1.1.1; K.1.1.2; K.1.1.3	K.N.1.1; K.N.1.2; K.N.1.3	K.2A; K.2B; K.2C; K.2D; K.2F	DOK2	5	Fatima picked 5 apples and put them in a basket. She picked 3 more. Show with pictures and count. How many apples now?	8	Draw 5 circles, then draw 3 more. Count all the circles.
K	Grade K	counting and cardinality	counting_K	Counting & Cardinality	K.1.1.1	K.CC.A.1; K.CC.A.2; K.CC.A.3; K.CC.B.4; K.CC.B.5	K.1.1.1; K.1.1.2; K.1.1.3	K.N.1.1; K.N.1.2; K.N.1.3	K.2A; K.2B; K.2C; K.2D; K.2F	DOK2	6	Draw 7 stars in a number path. Count forward from 1 to 7.	7	Draw one star in each box: 1 2 3 4 5 6 7
K	Grade K	counting and cardinality	counting_K	Counting & Cardinality	K.1.1.1	K.CC.A.1; K.CC.A.2; K.CC.A.3; K.CC.B.4; K.CC.B.5	K.1.1.1; K.1.1.2; K.1.1.3	K.N.1.1; K.N.1.2; K.N.1.3	K.2A; K.2B; K.2C; K.2D; K.2F	DOK2	7	Make tally marks to show 9 pennies: | | | | | | | | |. Count your marks.	9	One mark for each penny.
K	Grade K	counting and cardinality	counting_K	Counting & Cardinality	K.1.1.1	K.CC.A.1; K.CC.A.2; K.CC.A.3; K.CC.B.4; K.CC.B.5	K.1.1.1; K.1.1.2; K.1.1.3	K.N.1.1; K.N.1.2; K.N.1.3	K.2A; K.2B; K.2C; K.2D; K.2F	DOK2	8	Use a ten-frame. Put counters to show 6. Count the empty boxes.	4	Fill 6 boxes. How many are left empty?
K	Grade K	counting and cardinality	counting_K	Counting & Cardinality	K.1.1.1	K.CC.A.1; K.CC.A.2; K.CC.A.3; K.CC.B.4; K.CC.B.5	K.1.1.1; K.1.1.2; K.1.1.3	K.N.1.1; K.N.1.2; K.N.1.3	K.2A; K.2B; K.2C; K.2D; K.2F	DOK2	9	A group has 10 people. Some stand, some sit. How many people in the group? Write the number.	10	Count all the people even though they are in different positions.
K	Grade K	counting and cardinality	counting_K	Counting & Cardinality	K.1.1.1	K.CC.A.1; K.CC.A.2; K.CC.A.3; K.CC.B.4; K.CC.B.5	K.1.1.1; K.1.1.2; K.1.1.3	K.N.1.1; K.N.1.2; K.N.1.3	K.2A; K.2B; K.2C; K.2D; K.2F	DOK2	10	Look at this number path: 1 2 3 4 5 6. What number comes next?	7	Count forward by one.
K	Grade K	counting and cardinality	counting_K	Counting & Cardinality	K.1.1.1	K.CC.A.1; K.CC.A.2; K.CC.A.3; K.CC.B.4; K.CC.B.5	K.1.1.1; K.1.1.2; K.1.1.3	K.N.1.1; K.N.1.2; K.N.1.3	K.2A; K.2B; K.2C; K.2D; K.2F	DOK2	11	How many? Show the answer: 2 + 1 (using objects to help)	3	Show 2 with objects, add 1 more, count all.
K	Grade K	counting and cardinality	counting_K	Counting & Cardinality	K.1.1.1	K.CC.A.1; K.CC.A.2; K.CC.A.3; K.CC.B.4; K.CC.B.5	K.1.1.1; K.1.1.2; K.1.1.3	K.N.1.1; K.N.1.2; K.N.1.3	K.2A; K.2B; K.2C; K.2D; K.2F	DOK2	12	Point to the number 8 on a number line or number chart.	8 (correct position on the chart/line)	Start at 1 and count forward to 8.
K	Grade K	counting and cardinality	counting_K	Counting & Cardinality	K.1.1.1	K.CC.A.1; K.CC.A.2; K.CC.A.3; K.CC.B.4; K.CC.B.5	K.1.1.1; K.1.1.2; K.1.1.3	K.N.1.1; K.N.1.2; K.N.1.3	K.2A; K.2B; K.2C; K.2D; K.2F	DOK3	1	Count 7 flowers. Now count them again to make sure you have 7. Did you get the same number both times? How do you know?	Yes, the same number each time. I counted carefully both times.	Count slowly the first time. Count again slowly. Do the numbers match?
K	Grade K	counting and cardinality	counting_K	Counting & Cardinality	K.1.1.1	K.CC.A.1; K.CC.A.2; K.CC.A.3; K.CC.B.4; K.CC.B.5	K.1.1.1; K.1.1.2; K.1.1.3	K.N.1.1; K.N.1.2; K.N.1.3	K.2A; K.2B; K.2C; K.2D; K.2F	DOK3	2	Show me 4 fingers. Can you show me a different set of 4 things using blocks, crayons, or buttons? What did you use?	Answers will vary (e.g., 4 blocks, 4 crayons, 4 buttons). The number is still 4.	The number 4 can be shown with different things, but there are always 4 of them.
K	Grade K	counting and cardinality	counting_K	Counting & Cardinality	K.1.1.1	K.CC.A.1; K.CC.A.2; K.CC.A.3; K.CC.B.4; K.CC.B.5	K.1.1.1; K.1.1.2; K.1.1.3	K.N.1.1; K.N.1.2; K.N.1.3	K.2A; K.2B; K.2C; K.2D; K.2F	DOK3	3	Count a group of objects three different ways. Do you get the same number each time? Explain.	Yes, the total stays the same no matter how you count. You get the same number.	Try counting left to right, right to left, and in a circle. Does the total change?
K	Grade K	counting and cardinality	counting_K	Counting & Cardinality	K.1.1.1	K.CC.A.1; K.CC.A.2; K.CC.A.3; K.CC.B.4; K.CC.B.5	K.1.1.1; K.1.1.2; K.1.1.3	K.N.1.1; K.N.1.2; K.N.1.3	K.2A; K.2B; K.2C; K.2D; K.2F	DOK3	4	Draw a picture showing the number 6 in two different ways. Explain your pictures.	Answers will vary (e.g., 6 dots, or 3 + 3 shown as two groups). Both show 6.	You can show 6 circles all together, or show it as two groups.
K	Grade K	addition and subtraction	operations_K	Addition & Subtraction	K.1.2.1	K.OA.A.1; K.OA.A.2; K.OA.A.3; K.OA.A.4; K.OA.A.5	K.1.2.1; K.1.2.2	K.N.2.1; K.N.2.2	K.3A; K.3B; K.3C	DOK1	1	Maya has 2 cookies 🍪. Her mom gives her 1 more cookie 🍪. How many cookies does Maya have now?	3	Start with 2. Add 1 more. Count all together: 1, 2, 3.
K	Grade K	addition and subtraction	operations_K	Addition & Subtraction	K.1.2.1	K.OA.A.1; K.OA.A.2; K.OA.A.3; K.OA.A.4; K.OA.A.5	K.1.2.1; K.1.2.2	K.N.2.1; K.N.2.2	K.3A; K.3B; K.3C	DOK1	2	There are 3 toy cars 🚗 on the table. You add 2 more cars 🚗. How many cars are there now?	5	Count: 3 cars, then add 2 more. What's the total?
K	Grade K	addition and subtraction	operations_K	Addition & Subtraction	K.1.2.1	K.OA.A.1; K.OA.A.2; K.OA.A.3; K.OA.A.4; K.OA.A.5	K.1.2.1; K.1.2.2	K.N.2.1; K.N.2.2	K.3A; K.3B; K.3C	DOK1	3	Tom has 4 stickers. He gets 1 more sticker. How many stickers does Tom have?	5	Think: 4 and 1 more makes how many?
K	Grade K	addition and subtraction	operations_K	Addition & Subtraction	K.1.2.1	K.OA.A.1; K.OA.A.2; K.OA.A.3; K.OA.A.4; K.OA.A.5	K.1.2.1; K.1.2.2	K.N.2.1; K.N.2.2	K.3A; K.3B; K.3C	DOK1	4	Jaylen picks 2 apples 🍎 and 3 oranges 🍊. He puts them in a bag. How many pieces of fruit does Jaylen have?	5	Put the apples and oranges together. Count all of them.
K	Grade K	addition and subtraction	operations_K	Addition & Subtraction	K.1.2.1	K.OA.A.1; K.OA.A.2; K.OA.A.3; K.OA.A.4; K.OA.A.5	K.1.2.1; K.1.2.2	K.N.2.1; K.N.2.2	K.3A; K.3B; K.3C	DOK1	5	There are 5 birds 🦅 on a branch. 2 more birds 🦅 fly to the branch. Now how many birds are there?	7	Start with 5. Add 2 more. Count: 5, 6, 7.
K	Grade K	addition and subtraction	operations_K	Addition & Subtraction	K.1.2.1	K.OA.A.1; K.OA.A.2; K.OA.A.3; K.OA.A.4; K.OA.A.5	K.1.2.1; K.1.2.2	K.N.2.1; K.N.2.2	K.3A; K.3B; K.3C	DOK1	6	Sofia has 1 red crayon and 3 blue crayons. How many crayons does she have altogether?	4	Put the red and blue crayons together. Count them all.
K	Grade K	addition and subtraction	operations_K	Addition & Subtraction	K.1.2.1	K.OA.A.1; K.OA.A.2; K.OA.A.3; K.OA.A.4; K.OA.A.5	K.1.2.1; K.1.2.2	K.N.2.1; K.N.2.2	K.3A; K.3B; K.3C	DOK1	7	Draw 3 circles. Draw 2 more circles. How many circles did you draw?	5	Draw 3, then draw 2 more. Count all the circles.
K	Grade K	addition and subtraction	operations_K	Addition & Subtraction	K.1.2.1	K.OA.A.1; K.OA.A.2; K.OA.A.3; K.OA.A.4; K.OA.A.5	K.1.2.1; K.1.2.2	K.N.2.1; K.N.2.2	K.3A; K.3B; K.3C	DOK1	8	Show on a number path: Start at 2. Jump forward 4 spaces. Where do you land?	6	Start at 2: hop 1, 2, 3, 4. That's 4 jumps.
K	Grade K	addition and subtraction	operations_K	Addition & Subtraction	K.1.2.1	K.OA.A.1; K.OA.A.2; K.OA.A.3; K.OA.A.4; K.OA.A.5	K.1.2.1; K.1.2.2	K.N.2.1; K.N.2.2	K.3A; K.3B; K.3C	DOK1	9	Make a ten-frame. Put 3 counters in one row and 4 in the same frame. How many total?	7	Count all the counters together.
K	Grade K	addition and subtraction	operations_K	Addition & Subtraction	K.1.2.1	K.OA.A.1; K.OA.A.2; K.OA.A.3; K.OA.A.4; K.OA.A.5	K.1.2.1; K.1.2.2	K.N.2.1; K.N.2.2	K.3A; K.3B; K.3C	DOK1	10	What is 2 + 1? Write or show the answer.	3	Start with 2 and add 1 more.
K	Grade K	addition and subtraction	operations_K	Addition & Subtraction	K.1.2.1	K.OA.A.1; K.OA.A.2; K.OA.A.3; K.OA.A.4; K.OA.A.5	K.1.2.1; K.1.2.2	K.N.2.1; K.N.2.2	K.3A; K.3B; K.3C	DOK2	1	There are 5 birds 🦆 on a tree. 2 birds fly away. How many birds are still on the tree?	3	Start with 5. Take away 2. Count what's left.
K	Grade K	addition and subtraction	operations_K	Addition & Subtraction	K.1.2.1	K.OA.A.1; K.OA.A.2; K.OA.A.3; K.OA.A.4; K.OA.A.5	K.1.2.1; K.1.2.2	K.N.2.1; K.N.2.2	K.3A; K.3B; K.3C	DOK2	2	You have 6 crayons. You give 3 to your friend. How many crayons do you have left?	3	Start with 6. Subtract 3. What's left?
K	Grade K	addition and subtraction	operations_K	Addition & Subtraction	K.1.2.1	K.OA.A.1; K.OA.A.2; K.OA.A.3; K.OA.A.4; K.OA.A.5	K.1.2.1; K.1.2.2	K.N.2.1; K.N.2.2	K.3A; K.3B; K.3C	DOK2	3	There are 2 red apples 🍎 and 3 green apples 🍎 in a bowl. How many apples are in the bowl altogether?	5	Count the red apples, then the green apples, then count all together.
K	Grade K	addition and subtraction	operations_K	Addition & Subtraction	K.1.2.1	K.OA.A.1; K.OA.A.2; K.OA.A.3; K.OA.A.4; K.OA.A.5	K.1.2.1; K.1.2.2	K.N.2.1; K.N.2.2	K.3A; K.3B; K.3C	DOK2	4	Kenji has 8 blocks. He uses 2 blocks to build a tower. How many blocks does he have left?	6	Start with 8 blocks. Take away 2. Count what's left.
K	Grade K	addition and subtraction	operations_K	Addition & Subtraction	K.1.2.1	K.OA.A.1; K.OA.A.2; K.OA.A.3; K.OA.A.4; K.OA.A.5	K.1.2.1; K.1.2.2	K.N.2.1; K.N.2.2	K.3A; K.3B; K.3C	DOK2	5	There are 7 ducks 🦆 at the lake. 3 ducks swim away. How many ducks are still at the lake?	4	Start with 7. Subtract 3. What's left?
K	Grade K	addition and subtraction	operations_K	Addition & Subtraction	K.1.2.1	K.OA.A.1; K.OA.A.2; K.OA.A.3; K.OA.A.4; K.OA.A.5	K.1.2.1; K.1.2.2	K.N.2.1; K.N.2.2	K.3A; K.3B; K.3C	DOK2	6	Amir has 5 bananas 🍌 and gets 2 more. Draw a picture. How many bananas does Amir have now?	7	Draw 5 circles for bananas, then draw 2 more.
K	Grade K	addition and subtraction	operations_K	Addition & Subtraction	K.1.2.1	K.OA.A.1; K.OA.A.2; K.OA.A.3; K.OA.A.4; K.OA.A.5	K.1.2.1; K.1.2.2	K.N.2.1; K.N.2.2	K.3A; K.3B; K.3C	DOK2	7	Show with tally marks: You had 6 pennies. You spent 1 penny. How many pennies are left?	5	Make 6 marks, cross out 1. Count what's left.
K	Grade K	addition and subtraction	operations_K	Addition & Subtraction	K.1.2.1	K.OA.A.1; K.OA.A.2; K.OA.A.3; K.OA.A.4; K.OA.A.5	K.1.2.1; K.1.2.2	K.N.2.1; K.N.2.2	K.3A; K.3B; K.3C	DOK2	8	Use a number path. Start at 8. Go back 2 steps. What number are you on?	6	Start at 8. Go back 1, go back 1. Where are you?
K	Grade K	addition and subtraction	operations_K	Addition & Subtraction	K.1.2.1	K.OA.A.1; K.OA.A.2; K.OA.A.3; K.OA.A.4; K.OA.A.5	K.1.2.1; K.1.2.2	K.N.2.1; K.N.2.2	K.3A; K.3B; K.3C	DOK2	9	What is 4 + 3? Use a drawing or number line to show how you know.	7	Draw 4 shapes, then draw 3 more shapes. Count all of them.
K	Grade K	addition and subtraction	operations_K	Addition & Subtraction	K.1.2.1	K.OA.A.1; K.OA.A.2; K.OA.A.3; K.OA.A.4; K.OA.A.5	K.1.2.1; K.1.2.2	K.N.2.1; K.N.2.2	K.3A; K.3B; K.3C	DOK2	10	Solve: 5 - 2 = ?	3	Start with 5 and take away 2.
K	Grade K	addition and subtraction	operations_K	Addition & Subtraction	K.1.2.1	K.OA.A.1; K.OA.A.2; K.OA.A.3; K.OA.A.4; K.OA.A.5	K.1.2.1; K.1.2.2	K.N.2.1; K.N.2.2	K.3A; K.3B; K.3C	DOK2	11	Solve: 3 + 4 = ?	7	Think about 3 and 4 together.
K	Grade K	addition and subtraction	operations_K	Addition & Subtraction	K.1.2.1	K.OA.A.1; K.OA.A.2; K.OA.A.3; K.OA.A.4; K.OA.A.5	K.1.2.1; K.1.2.2	K.N.2.1; K.N.2.2	K.3A; K.3B; K.3C	DOK2	12	Solve: 6 + 1 = ?	7	Start with 6 and add 1 more.
K	Grade K	addition and subtraction	operations_K	Addition & Subtraction	K.1.2.1	K.OA.A.1; K.OA.A.2; K.OA.A.3; K.OA.A.4; K.OA.A.5	K.1.2.1; K.1.2.2	K.N.2.1; K.N.2.2	K.3A; K.3B; K.3C	DOK3	1	Show me 5 pennies. Take some away. Tell me how many you took away and how many are left. Do they add up to 5?	Answers will vary (e.g., took away 2, have 3 left; 2 + 3 = 5). The total should equal 5.	Start with 5. Pick a number to take away. Count what's left. Add them together—do you get 5?
K	Grade K	addition and subtraction	operations_K	Addition & Subtraction	K.1.2.1	K.OA.A.1; K.OA.A.2; K.OA.A.3; K.OA.A.4; K.OA.A.5	K.1.2.1; K.1.2.2	K.N.2.1; K.N.2.2	K.3A; K.3B; K.3C	DOK3	2	Find two different ways to make 4 using counters, blocks, or drawing. Show your thinking and explain why they both equal 4.	Answers will vary (e.g., 1+3=4, 2+2=4, 4+0=4). Any combination that makes 4 is correct.	You can use blocks, draw circles, or use your fingers. Find ways to put together objects to make 4.
K	Grade K	addition and subtraction	operations_K	Addition & Subtraction	K.1.2.1	K.OA.A.1; K.OA.A.2; K.OA.A.3; K.OA.A.4; K.OA.A.5	K.1.2.1; K.1.2.2	K.N.2.1; K.N.2.2	K.3A; K.3B; K.3C	DOK3	3	Can you make a subtraction story with 7? Show with objects and explain. Example: I had 7 apples...	Answers will vary (e.g., I had 7 apples, ate 2, have 5 left). Student creates a subtraction story from 7.	Start with 7 objects. Take some away. Tell what happened.
K	Grade K	addition and subtraction	operations_K	Addition & Subtraction	K.1.2.1	K.OA.A.1; K.OA.A.2; K.OA.A.3; K.OA.A.4; K.OA.A.5	K.1.2.1; K.1.2.2	K.N.2.1; K.N.2.2	K.3A; K.3B; K.3C	DOK3	4	Draw a picture showing 6 + 2. Write the number sentence and the answer.	6 + 2 = 8 (with a drawing showing 6 and 2 more objects)	Draw 6 shapes, then draw 2 more. Count all. Write: 6 + 2 = 8
K	Grade K	shapes and geometry	geometry_K	Shapes & Geometry	K.3.1.1	K.G.A.1; K.G.A.2; K.G.A.3	K.3.1.1; K.3.1.2	K.GM.1.1; K.GM.1.2	K.6A; K.6B	DOK1	1	What shape is this? 🔵	Circle	This shape has no corners. It goes round and round.
K	Grade K	shapes and geometry	geometry_K	Shapes & Geometry	K.3.1.1	K.G.A.1; K.G.A.2; K.G.A.3	K.3.1.1; K.3.1.2	K.GM.1.1; K.GM.1.2	K.6A; K.6B	DOK1	2	What shape is this? ▢	Square	This shape has 4 equal sides and 4 corners.
K	Grade K	shapes and geometry	geometry_K	Shapes & Geometry	K.3.1.1	K.G.A.1; K.G.A.2; K.G.A.3	K.3.1.1; K.3.1.2	K.GM.1.1; K.GM.1.2	K.6A; K.6B	DOK1	3	Look at this shape: △. Is it a triangle, square, or circle?	Triangle	This shape has 3 sides and 3 corners.
K	Grade K	shapes and geometry	geometry_K	Shapes & Geometry	K.3.1.1	K.G.A.1; K.G.A.2; K.G.A.3	K.3.1.1; K.3.1.2	K.GM.1.1; K.GM.1.2	K.6A; K.6B	DOK1	4	Hold a real circle (like a plate or ball). Hold a real square (like a block). Tell what you notice about each shape.	Circle is round. Square has corners and straight sides.	Feel the shape with your hands. Is it bumpy or smooth? Does it have corners?
K	Grade K	shapes and geometry	geometry_K	Shapes & Geometry	K.3.1.1	K.G.A.1; K.G.A.2; K.G.A.3	K.3.1.1; K.3.1.2	K.GM.1.1; K.GM.1.2	K.6A; K.6B	DOK1	5	Show me a rectangle with your hands. Then show me a triangle.	Student uses fingers/hands to show shapes: rectangle (four sides, four corners); triangle (three sides, three corners).	Stretch your fingers to make shapes. How many corners does each shape have?
K	Grade K	shapes and geometry	geometry_K	Shapes & Geometry	K.3.1.1	K.G.A.1; K.G.A.2; K.G.A.3	K.3.1.1; K.3.1.2	K.GM.1.1; K.GM.1.2	K.6A; K.6B	DOK1	6	Touch three different shapes in your classroom. Name each one.	Answers will vary (e.g., circle clock, square window, rectangle door). Student identifies shapes in the room.	Look around. Find things that are circles, squares, triangles, or rectangles.
K	Grade K	shapes and geometry	geometry_K	Shapes & Geometry	K.3.1.1	K.G.A.1; K.G.A.2; K.G.A.3	K.3.1.1; K.3.1.2	K.GM.1.1; K.GM.1.2	K.6A; K.6B	DOK1	7	Draw a circle. Draw a square. Draw a triangle. Label each one.	Student draws three shapes and correctly labels them.	Use a crayon or pencil. Make the shapes as big as you can.
K	Grade K	shapes and geometry	geometry_K	Shapes & Geometry	K.3.1.1	K.G.A.1; K.G.A.2; K.G.A.3	K.3.1.1; K.3.1.2	K.GM.1.1; K.GM.1.2	K.6A; K.6B	DOK1	8	Draw 4 circles and 3 triangles. Count how many shapes you drew altogether.	7	Draw the circles, count them. Draw the triangles, count them. Add them together.
K	Grade K	shapes and geometry	geometry_K	Shapes & Geometry	K.3.1.1	K.G.A.1; K.G.A.2; K.G.A.3	K.3.1.1; K.3.1.2	K.GM.1.1; K.GM.1.2	K.6A; K.6B	DOK1	9	Look at this picture: (show a drawing of mixed shapes). How many squares do you see?	Answers depend on the picture shown (e.g., 2 squares)	Look for shapes with 4 equal sides and 4 corners.
K	Grade K	shapes and geometry	geometry_K	Shapes & Geometry	K.3.1.1	K.G.A.1; K.G.A.2; K.G.A.3	K.3.1.1; K.3.1.2	K.GM.1.1; K.GM.1.2	K.6A; K.6B	DOK2	1	Find a circle in your classroom. Draw or describe what you found.	Answers will vary (e.g., a clock, a ball, a plate, a wheel, a loon on a lake). Must be a round object.	Look around the room. What has a round shape like a ball?
K	Grade K	shapes and geometry	geometry_K	Shapes & Geometry	K.3.1.1	K.G.A.1; K.G.A.2; K.G.A.3	K.3.1.1; K.3.1.2	K.GM.1.1; K.GM.1.2	K.6A; K.6B	DOK2	2	How many corners does a square have? Count them with your finger.	4	Point to each corner and count: 1, 2, 3, 4.
K	Grade K	shapes and geometry	geometry_K	Shapes & Geometry	K.3.1.1	K.G.A.1; K.G.A.2; K.G.A.3	K.3.1.1; K.3.1.2	K.GM.1.1; K.GM.1.2	K.6A; K.6B	DOK2	3	Look at these shapes: ▢ △ 🔵. Which one has the most sides?	Square (4 sides). Triangle has 3 sides. Circle has 0 straight sides.	Count the straight lines on each shape.
K	Grade K	shapes and geometry	geometry_K	Shapes & Geometry	K.3.1.1	K.G.A.1; K.G.A.2; K.G.A.3	K.3.1.1; K.3.1.2	K.GM.1.1; K.GM.1.2	K.6A; K.6B	DOK2	4	Use blocks, Play-Doh, or sticks to make a triangle, a square, and a circle. Show each shape.	Student creates three shapes using materials. Shapes should have correct number of sides/corners.	For a triangle, use 3 sticks. For a square, use 4. For a circle, curve your material.
K	Grade K	shapes and geometry	geometry_K	Shapes & Geometry	K.3.1.1	K.G.A.1; K.G.A.2; K.G.A.3	K.3.1.1; K.3.1.2	K.GM.1.1; K.GM.1.2	K.6A; K.6B	DOK2	5	Sort these shapes into two groups: ▢ △ ▢ 🔵 △ 🔵. Show your groups.	Possible groupings: (1) Shapes with corners vs. circle; (2) Squares and triangles vs. circle; (3) By name: squares, triangles, circles.	What is the same about some shapes? What is different?
K	Grade K	shapes and geometry	geometry_K	Shapes & Geometry	K.3.1.1	K.G.A.1; K.G.A.2; K.G.A.3	K.3.1.1; K.3.1.2	K.GM.1.1; K.GM.1.2	K.6A; K.6B	DOK2	6	Draw three rectangles of different sizes. Label them small, medium, and big.	Student draws three rectangles with clearly different sizes and labels each.	Make one tiny, one medium, and one very big.
